GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Mantenimiento,4,15,0,0,2,4,1,2,1,2
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Moto,4,15,0,0,2,4,1,2,1,2
ISO2023,edu.uclm.esi.iso.ISO2023.entities,User,35,44,0,0,11,16,6,8,6,8
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Cliente,86,39,14,0,27,12,15,6,8,6
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Administrador,0,9,0,0,0,2,0,1,0,1
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Coche,4,15,0,0,2,4,1,2,1,2
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Parametros,32,22,0,0,14,8,9,2,9,2
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Reserva,28,47,0,0,14,16,7,8,7,8
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Patinete,4,15,0,0,2,4,1,2,1,2
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Vehiculo,42,46,0,0,15,16,8,8,8,8
ISO2023,edu.uclm.esi.iso.ISO2023.entities,Token,39,0,0,0,16,0,9,0,9,0
ISO2023,edu.uclm.esi.iso.ISO2023.exceptions,numeroInvalido,4,0,0,0,2,0,1,0,1,0
ISO2023,edu.uclm.esi.iso.ISO2023.exceptions,formatoIncompleto,4,0,0,0,2,0,1,0,1,0
ISO2023,edu.uclm.esi.iso.ISO2023.exceptions,contrasenaIncorrecta,4,0,0,0,2,0,1,0,1,0
ISO2023,edu.uclm.esi.iso.ISO2023,App,5,3,0,0,1,1,1,1,1,1
ISO2023,edu.uclm.esi.iso.ISO2023.services,UserService,422,189,53,21,83,40,38,11,5,5
ISO2023,edu.uclm.esi.iso.ISO2023.services,SeguridadService,370,28,82,0,84,7,53,4,12,4
ISO2023,edu.uclm.esi.iso.ISO2023.services,ReservaService,549,26,66,3,96,4,43,3,9,2
ISO2023,edu.uclm.esi.iso.ISO2023.services,EmailService,102,3,0,0,31,1,1,1,1,1
ISO2023,edu.uclm.esi.iso.ISO2023.services,ClienteService,337,30,33,3,64,5,22,3,5,2
ISO2023,edu.uclm.esi.iso.ISO2023.services,VehiculoService,308,57,30,6,71,9,24,4,8,2
ISO2023,edu.uclm.esi.iso.ISO2023.services,AdminService,327,3,37,0,68,1,26,1,7,1
ISO2023,edu.uclm.esi.iso.ISO2023.controllers,UserController,375,73,2,0,98,19,9,4,8,4
ISO2023,edu.uclm.esi.iso.ISO2023.controllers,ClienteController,154,28,0,0,38,7,3,2,3,2
ISO2023,edu.uclm.esi.iso.ISO2023.controllers,AdminController,987,20,14,0,233,5,26,2,17,2
